angry,disgusted,fearful,happy,neutral,sad,surprised,time
0.0,0.0,0.02,0.01,0.4,0.56,0.0,35:26
0.0,0.0,0.0,0.01,0.98,0.01,0.0,35:32
0.0,0.0,0.0,0.03,0.97,0.0,0.0,35:34
0.0,0.0,0.3,0.23,0.31,0.11,0.05,35:36
0.0,0.0,0.01,0.02,0.75,0.22,0.0,35:38
0.0,0.0,0.0,0.0,0.21,0.78,0.0,35:42
0.0,0.0,0.0,0.01,0.98,0.02,0.0,35:44
0.0,0.0,0.0,0.01,0.94,0.04,0.01,35:46
0.0,0.0,0.0,0.02,0.94,0.01,0.03,35:48
0.0,0.0,0.0,0.22,0.65,0.13,0.0,35:5
0.0,0.0,0.0,0.11,0.84,0.04,0.01,35:52
0.0,0.0,0.0,0.93,0.06,0.01,0.0,35:54
0.0,0.0,0.01,0.11,0.57,0.28,0.03,35:56
0.0,0.0,0.0,0.85,0.13,0.02,0.0,35:58
0.0,0.0,0.01,0.4,0.31,0.28,0.01,36:0
0.0,0.0,0.0,0.01,0.84,0.15,0.0,36:6
0.0,0.0,0.0,0.01,0.0,0.98,0.0,36:8
0.01,0.0,0.01,0.0,0.38,0.36,0.24,36:1
0.0,0.0,0.02,0.97,0.0,0.01,0.0,36:12
1.0,0.0,0.0,0.0,0.0,0.0,0.0,36:14
0.0,0.0,0.0,0.2,0.8,0.0,0.0,36:16
0.0,0.0,0.0,0.97,0.03,0.0,0.0,36:18
0.0,0.0,0.0,0.06,0.54,0.4,0.0,36:2
0.0,0.0,0.0,0.96,0.03,0.0,0.01,36:24
0.0,0.0,0.0,0.0,0.01,0.99,0.0,36:28
0.0,0.0,0.03,0.05,0.49,0.29,0.13,36:3
0.01,0.0,0.04,0.0,0.73,0.16,0.06,36:32
0.04,0.0,0.09,0.04,0.21,0.07,0.54,36:34
0.0,0.0,0.0,0.5,0.45,0.04,0.0,36:36
0.0,0.0,0.0,0.2,0.79,0.01,0.0,36:38
0.0,0.0,0.0,0.01,0.98,0.0,0.0,36:4
0.0,0.0,0.0,0.02,0.97,0.01,0.0,36:42
0.0,0.0,0.0,0.15,0.85,0.0,0.0,36:44
0.0,0.0,0.0,0.07,0.9,0.0,0.02,36:46
0.0,0.0,0.0,0.16,0.82,0.01,0.0,36:48
0.0,0.0,0.0,0.03,0.86,0.1,0.0,36:5
0.0,0.0,0.0,0.55,0.43,0.01,0.01,36:52
0.0,0.0,0.11,0.03,0.19,0.63,0.04,36:54
0.0,0.0,0.07,0.07,0.1,0.52,0.24,36:56
0.03,0.0,0.01,0.02,0.77,0.08,0.09,37:0
0.0,0.0,0.0,0.0,0.99,0.0,0.0,37:6
0.0,0.0,0.13,0.01,0.61,0.08,0.17,37:8
0.0,0.0,0.0,0.69,0.21,0.01,0.09,37:1
0.01,0.0,0.01,0.5,0.27,0.07,0.15,37:12
0.01,0.0,0.04,0.4,0.15,0.15,0.25,37:14
0.0,0.0,0.0,0.98,0.01,0.0,0.01,37:16
0.0,0.0,0.0,0.72,0.03,0.01,0.24,37:18
0.0,0.0,0.0,0.99,0.0,0.0,0.0,37:2
0.0,0.0,0.0,0.98,0.01,0.0,0.01,37:22
0.0,0.0,0.0,0.97,0.01,0.0,0.02,37:24
0.0,0.0,0.0,0.14,0.3,0.55,0.01,37:26
0.0,0.0,0.0,0.52,0.32,0.16,0.0,37:28
0.0,0.0,0.0,0.42,0.35,0.23,0.0,37:3
0.0,0.0,0.0,0.16,0.5,0.35,0.0,37:32
0.0,0.0,0.0,0.08,0.47,0.44,0.01,37:34
0.0,0.0,0.0,0.01,0.63,0.36,0.0,37:36
0.0,0.0,0.0,0.07,0.89,0.03,0.01,37:38
0.0,0.0,0.0,0.04,0.69,0.26,0.0,37:4
0.0,0.0,0.0,0.03,0.97,0.0,0.0,37:42
0.0,0.0,0.0,0.01,0.99,0.0,0.0,37:44
0.0,0.0,0.0,0.02,0.93,0.05,0.0,37:46
0.0,0.0,0.0,0.01,0.99,0.0,0.0,37:48
0.0,0.0,0.0,0.03,0.97,0.0,0.0,37:5
0.0,0.0,0.0,0.09,0.91,0.0,0.0,37:52
0.0,0.0,0.0,0.1,0.89,0.0,0.0,37:54
0.0,0.0,0.0,0.01,0.99,0.0,0.0,37:56
0.0,0.0,0.0,0.07,0.91,0.01,0.0,37:58
0.0,0.0,0.0,0.03,0.95,0.02,0.0,38:0
0.0,0.0,0.0,0.02,0.96,0.01,0.0,38:6
0.0,0.0,0.02,0.05,0.73,0.13,0.06,38:8
0.0,0.0,0.0,0.1,0.9,0.0,0.01,38:1
0.0,0.0,0.0,0.01,0.99,0.0,0.0,38:12
0.0,0.0,0.0,0.01,0.94,0.04,0.0,38:14
0.0,0.0,0.0,0.02,0.97,0.0,0.0,38:16
0.0,0.0,0.17,0.1,0.16,0.52,0.05,38:18
0.0,0.0,0.0,0.11,0.87,0.01,0.0,38:2
0.0,0.0,0.0,0.0,0.99,0.0,0.0,38:24
0.0,0.0,0.0,0.0,1.0,0.0,0.0,38:26
0.0,0.0,0.0,0.0,0.23,0.77,0.0,38:28
0.0,0.0,0.0,0.0,0.25,0.75,0.0,38:3
0.0,0.0,0.0,0.0,0.58,0.42,0.0,38:32
0.0,0.0,0.0,0.03,0.8,0.17,0.0,38:35
0.0,0.0,0.0,0.0,0.11,0.88,0.0,38:36
0.0,0.0,0.0,1.0,0.0,0.0,0.0,38:38
0.0,0.0,0.01,0.14,0.75,0.07,0.02,38:4
0.0,0.0,0.0,0.0,0.61,0.39,0.0,38:53
0.0,0.0,0.0,0.69,0.31,0.0,0.0,38:58
0.0,0.0,0.0,0.06,0.94,0.0,0.0,39:3
0.0,0.0,0.0,0.0,0.91,0.08,0.0,39:9
0.0,0.0,0.0,0.13,0.75,0.13,0.0,39:2
0.0,0.0,0.0,0.04,0.95,0.01,0.0,39:25
0.0,0.0,0.0,0.09,0.61,0.24,0.06,39:29
0.0,0.0,0.0,0.09,0.77,0.1,0.04,39:34
0.0,0.0,0.01,0.16,0.49,0.33,0.01,39:4
0.0,0.0,0.0,0.39,0.58,0.02,0.0,39:47
0.0,0.0,0.0,0.39,0.11,0.48,0.02,39:53
0.0,0.0,0.0,0.11,0.22,0.66,0.01,40:0
0.0,0.0,0.0,0.5,0.11,0.38,0.01,40:6
0.0,0.0,0.0,0.1,0.22,0.63,0.05,40:8
0.0,0.0,0.0,0.0,0.8,0.2,0.0,40:1
0.0,0.0,0.0,0.7,0.23,0.06,0.01,40:12
0.0,0.0,0.0,0.96,0.02,0.01,0.0,40:14
0.0,0.0,0.0,1.0,0.0,0.0,0.0,40:16
0.0,0.0,0.0,0.7,0.05,0.24,0.01,40:18
0.0,0.0,0.0,0.9,0.0,0.09,0.0,40:2
0.0,0.0,0.0,0.84,0.08,0.07,0.01,40:22
0.0,0.0,0.0,0.96,0.01,0.03,0.0,40:24
0.0,0.0,0.01,0.57,0.08,0.29,0.04,40:26
0.0,0.0,0.0,0.64,0.28,0.06,0.02,40:28
0.0,0.0,0.0,0.0,0.98,0.02,0.0,40:3
0.0,0.0,0.0,0.06,0.92,0.01,0.02,40:32
0.0,0.0,0.0,0.04,0.94,0.02,0.0,40:34
0.0,0.0,0.0,1.0,0.0,0.0,0.0,40:36
0.0,0.0,0.0,0.02,0.87,0.11,0.0,40:38
0.0,0.0,0.0,0.04,0.92,0.04,0.0,40:4
0.0,0.0,0.0,0.03,0.69,0.22,0.05,40:42
0.0,0.0,0.01,0.17,0.32,0.47,0.03,40:44
0.0,0.0,0.0,0.05,0.78,0.15,0.02,40:46
0.0,0.0,0.0,0.05,0.77,0.17,0.01,40:48
0.0,0.0,0.0,0.99,0.0,0.01,0.0,40:5
0.0,0.0,0.0,0.96,0.0,0.04,0.0,40:52
0.0,0.0,0.0,0.68,0.01,0.31,0.0,40:54
0.0,0.0,0.0,1.0,0.0,0.0,0.0,40:58
0.0,0.0,0.0,0.99,0.0,0.01,0.0,41:0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,41:6
0.0,0.0,0.0,0.11,0.36,0.51,0.03,41:8
0.0,0.0,0.0,0.15,0.06,0.78,0.01,41:12
0.0,0.0,0.0,0.18,0.48,0.32,0.01,41:14
0.0,0.0,0.0,0.11,0.85,0.03,0.01,41:18
0.0,0.0,0.0,0.18,0.37,0.42,0.03,41:2
0.0,0.0,0.0,0.01,0.31,0.63,0.05,41:22
0.0,0.0,0.0,0.12,0.85,0.02,0.01,41:24
0.0,0.0,0.0,0.01,0.05,0.94,0.0,41:26
0.0,0.0,0.0,0.14,0.26,0.57,0.02,41:28
0.0,0.0,0.0,0.41,0.51,0.05,0.03,41:3
0.0,0.0,0.0,0.14,0.76,0.1,0.0,41:32
0.0,0.0,0.0,0.06,0.19,0.74,0.02,41:34
0.0,0.0,0.0,0.03,0.81,0.13,0.03,41:36
0.0,0.0,0.0,0.01,0.96,0.04,0.0,41:38
0.0,0.0,0.0,0.06,0.76,0.16,0.01,41:4
0.0,0.0,0.0,0.09,0.67,0.24,0.0,41:46
0.0,0.0,0.0,0.84,0.15,0.0,0.0,41:48
0.0,0.0,0.0,0.41,0.52,0.07,0.01,41:5
0.0,0.0,0.0,0.02,0.73,0.25,0.0,41:52
0.0,0.0,0.0,0.06,0.22,0.72,0.0,41:54
0.0,0.0,0.08,0.48,0.02,0.35,0.07,41:56
0.0,0.0,0.0,0.92,0.03,0.04,0.0,41:58
0.0,0.0,0.0,0.14,0.27,0.5,0.09,42:0
0.0,0.0,0.0,0.03,0.84,0.12,0.01,42:2
0.0,0.0,0.0,0.02,0.61,0.36,0.01,42:6
0.0,0.0,0.0,0.01,0.15,0.84,0.0,42:18
0.0,0.0,0.0,0.01,0.19,0.77,0.03,42:22
0.0,0.0,0.0,1.0,0.0,0.0,0.0,42:26
0.0,0.0,0.0,0.02,0.96,0.02,0.01,42:28
0.0,0.0,0.0,0.01,0.86,0.1,0.03,42:3
0.0,0.0,0.0,0.03,0.8,0.04,0.13,42:4
0.0,0.0,0.0,0.01,0.99,0.0,0.0,42:44
0.0,0.0,0.0,0.02,0.88,0.1,0.0,42:46
0.0,0.0,0.0,0.01,0.25,0.74,0.0,42:48
0.0,0.0,0.0,0.01,0.98,0.0,0.0,42:5
0.0,0.0,0.0,0.0,1.0,0.0,0.0,42:52
0.0,0.0,0.0,0.0,0.45,0.54,0.0,42:58
0.0,0.0,0.0,0.02,0.98,0.0,0.0,43:0
0.01,0.0,0.0,0.03,0.82,0.12,0.01,43:8
0.0,0.0,0.0,0.92,0.0,0.07,0.0,43:1
0.0,0.0,0.0,0.83,0.17,0.01,0.0,43:12
0.0,0.0,0.0,0.04,0.94,0.02,0.0,43:16
0.0,0.0,0.0,0.06,0.53,0.4,0.01,43:18
0.0,0.0,0.0,0.21,0.76,0.02,0.0,43:2
0.01,0.02,0.0,0.07,0.18,0.72,0.0,43:3
0.0,0.0,0.0,0.01,0.99,0.0,0.0,43:34
0.0,0.0,0.0,0.06,0.89,0.04,0.01,43:36
0.01,0.0,0.0,0.18,0.74,0.03,0.05,43:38
0.58,0.02,0.0,0.03,0.3,0.05,0.02,43:4
0.24,0.0,0.0,0.04,0.63,0.08,0.0,43:42
0.0,0.0,0.0,0.97,0.01,0.02,0.0,43:44
0.0,0.0,0.0,0.65,0.34,0.01,0.0,43:46
0.0,0.0,0.0,0.0,0.95,0.05,0.0,43:48
0.02,0.0,0.0,0.03,0.88,0.04,0.02,43:5
0.0,0.0,0.0,0.97,0.03,0.0,0.0,43:52
0.07,0.19,0.0,0.03,0.64,0.06,0.0,43:56
0.0,0.0,0.0,0.82,0.17,0.0,0.0,44:8
0.0,0.0,0.0,0.01,0.73,0.25,0.0,44:1
0.0,0.0,0.0,0.04,0.84,0.11,0.0,44:12
0.0,0.0,0.0,0.0,0.9,0.1,0.0,44:16
0.0,0.0,0.0,0.0,0.96,0.04,0.0,44:18
0.0,0.0,0.0,0.0,1.0,0.0,0.0,44:2
0.0,0.0,0.0,0.0,1.0,0.0,0.0,44:22
0.0,0.0,0.0,0.0,1.0,0.0,0.0,44:24
0.0,0.0,0.0,0.0,0.98,0.02,0.0,44:28
0.0,0.0,0.0,0.01,0.99,0.01,0.0,44:36
0.0,0.0,0.0,0.02,0.68,0.29,0.0,44:38
0.0,0.0,0.0,0.01,0.38,0.61,0.0,44:4
0.18,0.0,0.03,0.14,0.46,0.15,0.04,44:42
0.0,0.0,0.0,0.0,0.03,0.96,0.0,44:44
0.0,0.0,0.0,0.01,0.01,0.98,0.0,44:46
0.0,0.0,0.0,0.07,0.07,0.86,0.0,44:48
0.0,0.0,0.0,0.01,0.03,0.96,0.0,44:5
0.0,0.0,0.0,0.14,0.85,0.0,0.0,44:52
0.0,0.0,0.0,0.17,0.8,0.02,0.0,44:54
0.0,0.0,0.0,0.06,0.71,0.23,0.0,44:56
0.0,0.0,0.0,0.01,0.86,0.11,0.02,44:58
0.0,0.0,0.0,0.0,0.02,0.98,0.0,45:0
0.0,0.0,0.0,0.04,0.17,0.79,0.0,45:6
0.0,0.0,0.0,0.02,0.03,0.95,0.0,45:8
0.0,0.0,0.0,0.01,0.04,0.95,0.0,45:1
0.0,0.0,0.0,0.92,0.04,0.04,0.0,45:12
0.0,0.0,0.0,0.87,0.0,0.12,0.0,45:14
0.0,0.0,0.0,1.0,0.0,0.0,0.0,45:16
0.0,0.0,0.0,0.99,0.0,0.0,0.0,45:18
0.0,0.0,0.0,0.0,0.87,0.13,0.0,45:2
0.0,0.0,0.0,0.0,0.99,0.01,0.0,45:22
0.0,0.0,0.0,0.0,0.61,0.39,0.0,45:24
0.0,0.0,0.0,0.0,0.84,0.16,0.0,45:26
0.0,0.0,0.0,0.0,0.95,0.05,0.0,45:28
0.0,0.0,0.0,0.0,0.99,0.01,0.0,45:3
0.0,0.0,0.0,0.0,0.47,0.53,0.0,45:32
0.0,0.0,0.0,0.0,0.99,0.0,0.0,45:34
0.0,0.0,0.0,0.0,0.98,0.01,0.0,45:36
0.0,0.0,0.0,0.0,0.62,0.3,0.08,45:38
0.0,0.0,0.03,0.0,0.37,0.56,0.04,45:4
0.0,0.0,0.0,0.0,0.43,0.56,0.01,45:42
0.0,0.0,0.0,0.01,0.21,0.79,0.0,45:44
0.0,0.0,0.0,0.0,1.0,0.0,0.0,45:46
0.0,0.0,0.0,0.0,1.0,0.0,0.0,45:48
0.0,0.0,0.0,0.0,0.48,0.52,0.0,46:0
0.0,0.0,0.0,0.1,0.89,0.0,0.0,46:4
0.0,0.0,0.01,0.02,0.82,0.12,0.04,46:6
