angry,disgusted,fearful,happy,neutral,sad,surprised,time
0.0,0.0,0.0,0.72,0.27,0.01,0.0,0:0
0.0,0.0,0.0,0.28,0.72,0.0,0.0,0:6
0.0,0.0,0.0,0.16,0.83,0.01,0.0,0:8
0.0,0.0,0.0,0.78,0.22,0.0,0.0,0:1
0.0,0.0,0.0,0.32,0.67,0.01,0.0,0:12
0.0,0.0,0.0,0.13,0.8,0.06,0.0,0:14
0.0,0.0,0.0,0.05,0.89,0.06,0.0,0:16
0.0,0.0,0.0,0.33,0.66,0.01,0.0,0:18
0.0,0.0,0.0,0.01,0.89,0.1,0.0,0:2
0.0,0.0,0.0,0.31,0.62,0.07,0.0,0:22
0.0,0.0,0.0,0.2,0.78,0.02,0.0,0:24
0.0,0.0,0.0,0.22,0.78,0.0,0.0,0:26
0.0,0.0,0.0,0.01,0.99,0.0,0.0,0:28
0.0,0.0,0.0,0.05,0.95,0.0,0.0,0:3
0.0,0.0,0.0,0.04,0.95,0.01,0.0,0:32
0.0,0.0,0.0,0.01,0.99,0.0,0.0,0:34
0.0,0.0,0.0,0.01,0.99,0.0,0.0,0:36
0.0,0.0,0.0,0.0,0.99,0.0,0.0,0:38
0.0,0.0,0.0,0.01,0.99,0.0,0.0,0:4
0.0,0.0,0.0,0.01,0.99,0.0,0.0,0:42
0.0,0.0,0.0,0.01,0.99,0.0,0.0,0:44
0.0,0.0,0.0,0.02,0.97,0.01,0.0,0:46
0.0,0.0,0.0,0.01,0.95,0.04,0.0,0:48
0.0,0.0,0.0,0.01,0.99,0.0,0.0,0:5
0.0,0.0,0.0,0.03,0.85,0.11,0.0,0:52
0.0,0.0,0.0,0.0,0.81,0.19,0.0,0:54
0.0,0.0,0.0,0.0,0.93,0.06,0.0,0:56
0.0,0.0,0.0,0.01,0.97,0.02,0.0,0:58
0.0,0.0,0.0,0.01,0.98,0.01,0.0,1:0
0.0,0.0,0.0,0.01,0.93,0.06,0.0,1:4
0.0,0.0,0.0,0.01,0.99,0.0,0.0,1:6
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1:8
0.0,0.0,0.0,0.01,0.99,0.0,0.0,1:1
0.0,0.0,0.0,0.1,0.9,0.0,0.0,1:12
0.0,0.0,0.0,0.04,0.93,0.03,0.0,1:14
0.0,0.0,0.0,0.02,0.98,0.0,0.0,1:16
0.0,0.0,0.0,0.07,0.93,0.0,0.0,1:18
0.0,0.0,0.0,0.04,0.96,0.0,0.0,1:2
0.0,0.0,0.0,0.02,0.98,0.0,0.0,1:22
0.0,0.0,0.01,0.01,0.22,0.75,0.01,1:24
0.0,0.0,0.0,0.02,0.98,0.0,0.01,1:28
0.0,0.0,0.0,0.0,0.98,0.01,0.0,1:34
0.0,0.0,0.01,0.3,0.43,0.17,0.08,1:42
0.0,0.0,0.0,0.0,0.84,0.15,0.01,1:46
0.0,0.0,0.0,0.28,0.2,0.1,0.42,1:5
0.0,0.0,0.0,0.32,0.08,0.14,0.47,1:52
0.0,0.0,0.0,0.94,0.02,0.01,0.03,1:54
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1:56
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1:58
0.0,0.0,0.0,1.0,0.0,0.0,0.0,2:0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,2:6
0.0,0.0,0.0,1.0,0.0,0.0,0.0,2:8
0.0,0.0,0.0,0.9,0.01,0.09,0.01,2:1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,2:12
0.0,0.0,0.0,0.92,0.03,0.04,0.02,2:14
0.0,0.0,0.0,1.0,0.0,0.0,0.0,2:16
0.0,0.0,0.0,0.76,0.05,0.18,0.02,2:2
0.0,0.0,0.0,0.59,0.04,0.36,0.02,2:22
0.0,0.0,0.0,0.84,0.03,0.12,0.01,2:24
0.0,0.0,0.0,0.67,0.03,0.28,0.02,2:26
0.0,0.0,0.0,0.97,0.0,0.02,0.0,2:28
0.0,0.0,0.0,0.93,0.05,0.02,0.01,2:3
0.0,0.0,0.0,0.97,0.01,0.02,0.0,2:32
0.0,0.0,0.0,0.98,0.0,0.01,0.0,2:34
0.0,0.0,0.0,0.96,0.01,0.03,0.01,2:36
0.0,0.0,0.0,0.0,0.42,0.58,0.0,2:38
0.0,0.0,0.0,0.01,0.02,0.94,0.02,2:4
0.0,0.0,0.0,0.01,0.51,0.48,0.0,2:42
0.0,0.0,0.02,0.0,0.02,0.0,0.96,2:44
0.1,0.01,0.02,0.01,0.28,0.0,0.58,2:46
0.0,0.0,0.0,0.99,0.0,0.01,0.0,2:48
0.0,0.0,0.0,0.94,0.02,0.04,0.0,2:5
0.0,0.0,0.0,1.0,0.0,0.0,0.0,2:52
0.0,0.0,0.0,1.0,0.0,0.0,0.0,2:54
0.0,0.0,0.0,1.0,0.0,0.0,0.0,2:56
0.0,0.0,0.0,0.74,0.02,0.24,0.0,2:58
0.0,0.0,0.0,0.97,0.01,0.01,0.0,3:0
0.0,0.0,0.0,0.98,0.01,0.01,0.0,3:6
0.0,0.0,0.0,0.98,0.02,0.0,0.0,3:8
0.0,0.0,0.0,0.5,0.05,0.44,0.0,3:1
0.0,0.0,0.0,0.8,0.17,0.03,0.0,3:12
0.0,0.0,0.01,0.44,0.28,0.18,0.1,3:14
0.0,0.0,0.0,0.35,0.14,0.48,0.03,3:16
0.0,0.0,0.0,0.99,0.0,0.01,0.0,3:18
0.0,0.0,0.0,1.0,0.0,0.0,0.0,3:2
0.0,0.0,0.0,1.0,0.0,0.0,0.0,3:22
0.0,0.0,0.0,1.0,0.0,0.0,0.0,3:24
0.0,0.0,0.0,1.0,0.0,0.0,0.0,3:26
0.0,0.0,0.0,0.99,0.0,0.01,0.0,3:28
0.0,0.0,0.0,1.0,0.0,0.0,0.0,3:3
0.0,0.0,0.0,0.99,0.0,0.01,0.0,3:32
0.0,0.0,0.0,0.99,0.0,0.01,0.0,3:34
0.0,0.0,0.0,0.9,0.0,0.1,0.0,3:36
0.0,0.0,0.0,0.88,0.03,0.06,0.02,3:38
0.0,0.0,0.0,0.79,0.0,0.2,0.01,3:4
0.0,0.0,0.0,0.85,0.01,0.13,0.02,3:42
0.0,0.0,0.0,0.88,0.0,0.11,0.0,3:44
0.0,0.0,0.01,0.51,0.04,0.44,0.0,3:46
0.0,0.0,0.0,1.0,0.0,0.0,0.0,3:48
0.0,0.0,0.0,0.93,0.03,0.02,0.01,3:5
0.0,0.0,0.0,0.55,0.33,0.02,0.1,3:58
0.0,0.0,0.0,0.22,0.76,0.02,0.0,4:0
0.0,0.0,0.0,0.99,0.0,0.0,0.0,4:4
0.0,0.0,0.0,0.44,0.03,0.52,0.0,4:6
0.0,0.0,0.0,0.8,0.14,0.05,0.01,4:8
0.0,0.0,0.0,0.02,0.06,0.92,0.0,4:1
0.0,0.0,0.0,0.01,0.01,0.98,0.0,4:12
0.0,0.0,0.0,0.04,0.09,0.88,0.0,4:14
0.0,0.0,0.01,0.15,0.64,0.03,0.17,4:16
0.0,0.0,0.0,0.13,0.72,0.07,0.07,4:18
0.0,0.0,0.01,0.07,0.56,0.35,0.01,4:2
0.0,0.0,0.0,0.04,0.9,0.03,0.03,4:22
0.0,0.0,0.0,0.09,0.87,0.04,0.01,4:24
0.0,0.0,0.0,0.1,0.86,0.03,0.01,4:26
0.0,0.0,0.0,0.0,0.01,0.99,0.0,4:28
0.0,0.0,0.0,0.0,0.0,1.0,0.0,4:3
0.0,0.0,0.0,0.04,0.93,0.02,0.01,4:32
0.0,0.0,0.01,0.13,0.82,0.02,0.01,4:34
0.0,0.0,0.0,0.0,0.01,0.99,0.0,4:36
0.0,0.0,0.0,0.0,0.18,0.82,0.0,4:46
0.0,0.0,0.0,0.01,0.17,0.83,0.0,4:52
0.0,0.0,0.0,0.0,0.02,0.98,0.0,4:54
0.0,0.0,0.01,0.01,0.19,0.79,0.0,4:56
0.0,0.0,0.0,0.05,0.11,0.83,0.0,4:58
0.0,0.0,0.0,0.0,0.49,0.51,0.0,5:8
0.0,0.0,0.0,0.0,0.12,0.87,0.0,5:1
0.0,0.0,0.0,0.0,0.02,0.98,0.0,5:12
0.0,0.0,0.0,0.02,0.28,0.7,0.0,5:14
0.0,0.0,0.0,0.26,0.07,0.68,0.0,5:36
0.0,0.0,0.0,0.05,0.63,0.32,0.0,5:38
0.0,0.0,0.0,0.0,0.77,0.23,0.0,5:4
0.0,0.0,0.0,0.03,0.92,0.02,0.02,5:42
0.0,0.0,0.02,0.1,0.82,0.02,0.04,5:44
0.0,0.0,0.0,0.0,0.9,0.1,0.0,5:46
0.0,0.0,0.0,0.0,0.07,0.92,0.0,5:48
0.0,0.0,0.0,0.46,0.41,0.14,0.0,5:58
0.0,0.0,0.0,0.44,0.42,0.13,0.01,6:0
0.0,0.0,0.01,0.0,0.0,0.0,0.99,6:6
0.0,0.0,0.0,0.0,0.01,0.0,0.98,6:8
0.0,0.0,0.0,0.0,0.15,0.01,0.84,6:1
0.0,0.0,0.0,0.0,0.01,0.0,0.99,6:12
0.0,0.0,0.0,0.01,0.0,0.0,0.99,6:14
0.0,0.0,0.0,0.03,0.01,0.0,0.96,6:16
0.0,0.0,0.0,0.99,0.0,0.0,0.0,6:18
0.0,0.0,0.0,0.86,0.04,0.1,0.0,6:2
0.0,0.0,0.0,0.48,0.47,0.03,0.02,6:22
0.0,0.0,0.0,0.87,0.12,0.0,0.01,6:24
0.0,0.0,0.0,1.0,0.0,0.0,0.0,6:28
0.0,0.0,0.0,0.09,0.67,0.21,0.03,6:3
0.0,0.0,0.01,0.95,0.0,0.01,0.03,6:32
0.0,0.0,0.0,0.0,0.78,0.22,0.0,6:34
0.0,0.01,0.01,0.93,0.01,0.02,0.02,6:36
0.0,0.0,0.0,0.98,0.0,0.0,0.01,6:38
0.0,0.0,0.0,0.08,0.79,0.12,0.0,6:4
0.0,0.0,0.0,0.09,0.54,0.36,0.0,6:42
0.0,0.0,0.01,0.44,0.19,0.36,0.0,6:44
0.0,0.0,0.0,0.58,0.19,0.23,0.0,6:46
0.0,0.0,0.05,0.05,0.29,0.61,0.01,6:48
0.0,0.0,0.0,0.08,0.62,0.3,0.0,6:5
0.0,0.0,0.0,0.62,0.33,0.05,0.0,6:52
0.0,0.0,0.0,0.04,0.67,0.29,0.0,6:54
0.0,0.0,0.0,0.9,0.09,0.01,0.01,6:56
0.0,0.0,0.0,0.51,0.44,0.04,0.0,6:58
0.0,0.0,0.0,0.76,0.09,0.15,0.0,7:0
0.0,0.0,0.01,0.44,0.46,0.08,0.01,7:6
0.0,0.0,0.01,0.18,0.25,0.56,0.0,7:8
0.0,0.0,0.0,0.99,0.0,0.01,0.0,7:1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,7:12
0.0,0.0,0.0,1.0,0.0,0.0,0.0,7:14
0.0,0.0,0.0,0.05,0.86,0.09,0.0,7:16
0.0,0.0,0.0,0.16,0.7,0.14,0.0,7:18
0.0,0.0,0.01,0.01,0.11,0.87,0.0,7:2
0.0,0.0,0.0,0.61,0.35,0.03,0.0,7:22
0.0,0.0,0.0,0.05,0.86,0.08,0.0,7:24
0.0,0.0,0.0,0.12,0.83,0.04,0.01,7:26
